InhouseSystemCode,IdentificationNumber,EmployeeId,"	Email",UserName,DisplayName,"	FirstName","	LastName","	AccountCreatedDate","	LastLoginDate","	AccountType","	IsLocked","	IsDisabled","	IsDeleted","	Remarks1","	Remarks2","	Remarks3","	Remarks4","	Remarks5","	CreatedBy","	CreatedDate","	ValidFromDate","	ValidToDate"
UCFFlatFileTS,,1,                              ,AaronJames,AaronJames,                                ,                                ,17-01-2020 09:53,12-02-2020 14:22,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,17-01-2020 09:53,,
UCFFlatFileTS,,2,                              ,AdamJamie,AdamJamie,                                ,                                ,18-07-2018 14:19,20-07-2018 11:50,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,18-07-2018 14:19,,
UCFFlatFileTS,,3,                              ,AlexJay,AlexJay,                                ,                                ,07-11-2019 08:28,28-11-2019 09:13,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,07-11-2019 08:28,,
UCFFlatFileTS,,4,                              ,AlexanderJayden,AlexanderJayden,                                ,                                ,03-07-2017 11:24,20-09-2017 10:20,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,03-07-2017 11:24,,
UCFFlatFileTS,,5,                              ,AndrewJoe,AndrewJoe,                                ,                                ,08-11-2018 14:10,18-06-2019 14:19,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,08-11-2018 14:10,,
UCFFlatFileTS,,6,                              ,ArchieJoel,ArchieJoel,                                ,                                ,06-02-2017 11:01,13-11-2019 16:23,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,06-02-2017 11:01,,
UCFFlatFileTS,,7,                              ,AshtonJohn,AshtonJohn,                                ,                                ,27-03-2017 16:29,04-10-2017 15:31,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,27-03-2017 16:29,,
UCFFlatFileTS,,8,                              ,BaileyJoseph,BaileyJoseph,                                ,                                ,07-04-2017 13:56,09-06-2017 10:13,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,07-04-2017 13:56,,
UCFFlatFileTS,,9,                              ,BenJosh,BenJosh,                                ,                                ,07-04-2017 13:50,13-07-2017 10:21,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,07-04-2017 13:50,,
UCFFlatFileTS,,10,                              ,BenjaminLuke,BenjaminLuke,                                ,                                ,07-04-2017 13:47,14-02-2020 19:29,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,07-04-2017 13:47,,
UCFFlatFileTS,,11,                              ,BillyMason,BillyMason,                                ,                                ,20-02-2019 09:42,//19 :2020 19:29    ,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,20-02-2019 09:42,,
UCFFlatFileTS,,12,                              ,BradleyMatthew,BradleyMatthew,                                ,                                ,07-04-2017 13:41,14-02-2020 16:59,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,07-04-2017 13:41,,
UCFFlatFileTS,,13,                              ,BrandonMax,BrandonMax,                                ,                                ,07-04-2017 13:47,28-12-2018 10:15,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,07-04-2017 13:47,,
UCFFlatFileTS,,14,                              ,CameronMichael,CameronMichael,                                ,                                ,07-04-2017 13:46,13-02-2020 18:03,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,07-04-2017 13:46,,
UCFFlatFileTS,,15,                              ,CharlesMohammad,CharlesMohammad,                                ,                                ,04-09-2017 15:15,12-02-2020 13:17,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,04-09-2017 15:15,,
UCFFlatFileTS,,16,                              ,CharlieRyan,CharlieRyan,                                ,                                ,17-01-2020 10:11,13-02-2020 15:22,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,17-01-2020 10:11,,
UCFFlatFileTS,,17,                              ,ChristopherSam,ChristopherSam,                                ,                                ,29-08-2019 15:43,14-02-2020 18:43,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,29-08-2019 15:43,,
UCFFlatFileTS,,18,                              ,ConnorSamuel,ConnorSamuel,                                ,                                ,07-04-2017 13:57,//19 :2020 18:43    ,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,07-04-2017 13:57,,
UCFFlatFileTS,,19,                              ,CoreySean,CoreySean,                                ,                                ,05-07-2018 14:32,26-12-2018 15:03,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,05-07-2018 14:32,,
UCFFlatFileTS,,20,                              ,DanielSebastian,DanielSebastian,                                ,                                ,20-02-2019 09:55,27-02-2019 15:24,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,20-02-2019 09:55,,
UCFFlatFileTS,,21,                              ,DavidTaylor,DavidTaylor,                                ,                                ,07-04-2017 13:56,//19 :2019 15:24    ,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,07-04-2017 13:56,,
UCFFlatFileTS,,22,                              ,DominicTheo,DominicTheo,                                ,                                ,13-08-2018 10:29,14-02-2020 17:38,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,13-08-2018 10:29,,
UCFFlatFileTS,,23,                              ,DylanThomas,DylanThomas,                                ,                                ,22-06-2018 14:58,//19 :2020 17:38    ,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,22-06-2018 14:58,,
UCFFlatFileTS,,24,                              ,EdwardToby,EdwardToby,                                ,                                ,07-04-2017 13:53,26-07-2019 14:05,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,07-04-2017 13:53,,
UCFFlatFileTS,,25,                              ,ElliotRobert,ElliotRobert,                                ,                                ,07-04-2017 13:59,20-12-2019 09:58,USER      ,0,0,0,                                    ,                                    ,                                    ,                                    ,                                    ,Idamadmin,07-04-2017 13:59,,
UCFFlatFileTS,,26,,EthanWilliam,EthanWilliam,,,08-04-2017 13:59,21-12-2019 09:58,USER      ,0,0,0,,,,,,Idamadmin,08-04-2017 13:59,,
